S/N,Date,Branch,Pizza Type,Quantity,Time,Time Range,Price
2280,08-12-2015,Arizona,Veggie Supreme,3,08:56:25,Before 9:00am,12.00
2281,05-12-2015,Idaho,BBQ Chicken,5,08:56:25,Before 9:00am,16.00
2282,10-12-2015,Oregon,Chicken Feast,5,08:56:27,Before 9:00am,8.00
2283,13-12-2015,Oregon,Chicken Bali,3,08:56:30,Before 9:00am,8.00
2284,09-12-2015,Arizona,Hot Pepperoni Feast,2,08:56:33,Before 9:00am,16.00
2285,08-12-2015,California,Veggie Supreme,1,08:56:37,Before 9:00am,12.00
2286,04-12-2015,Oregon,Hot Pepperoni Feast,3,08:56:39,Before 9:00am,16.00
2287,03-12-2015,Idaho,Pepperoni Suya,5,08:56:41,Before 9:00am,12.00
2288,10-12-2015,California,Chicken Suya,2,08:56:42,Before 9:00am,16.00
2289,04-12-2015,Idaho,Veggie Supreme,2,08:56:43,Before 9:00am,12.00
2290,13-12-2015,California,Margarita,1,08:56:44,Before 9:00am,16.00
2291,05-12-2015,Oregon,Pepperoni Feast,4,08:56:44,Before 9:00am,16.00
2292,03-12-2015,Arizona,Pepperoni Feast,3,08:56:46,Before 9:00am,16.00
2293,14-12-2015,Arizona,Meatzaa,4,08:56:47,Before 9:00am,8.00
2294,03-12-2015,Arizona,Meatzaa,3,08:56:48,Before 9:00am,8.00
2295,08-12-2015,Idaho,Chicken Suya,4,08:56:48,Before 9:00am,16.00
2296,13-12-2015,Oregon,Pepperoni Feast,5,08:56:48,Before 9:00am,16.00
2297,03-12-2015,Nevada,Beef Suya,3,08:56:48,Before 9:00am,12.00
2298,09-12-2015,Arizona,Margarita,4,08:56:48,Before 9:00am,16.00
2299,09-12-2015,Oregon,Hot Veggie,1,08:56:49,Before 9:00am,16.00
2300,11-12-2015,Oregon,Pepperoni Suya,2,08:56:52,Before 9:00am,12.00
2301,12-12-2015,Oregon,Chicken Bali,2,08:56:52,Before 9:00am,8.00
2302,10-12-2015,Nevada,Pepperoni Suya,3,08:56:54,Before 9:00am,12.00
2303,05-12-2015,Oregon,Hot Veggie,5,08:56:55,Before 9:00am,16.00
2304,09-12-2015,Nevada,BBQ Chicken,5,08:56:56,Before 9:00am,16.00
2305,05-12-2015,California,Chicken Feast,3,08:56:57,Before 9:00am,8.00
2306,07-12-2015,Nevada,Italiano,4,08:56:57,Before 9:00am,12.00
2307,13-12-2015,Oregon,Beef Suya,5,08:56:58,Before 9:00am,12.00
2308,10-12-2015,Oregon,Chicken Bali,2,08:56:59,Before 9:00am,8.00
2309,12-12-2015,California,Chicken Bali,1,08:56:59,Before 9:00am,8.00
2310,15-12-2015,Idaho,BBQ Chicken,5,08:57:02,Before 9:00am,16.00
2311,03-12-2015,Nevada,Hot Pepperoni Feast,5,08:57:03,Before 9:00am,16.00
2312,08-12-2015,California,Hot Veggie,4,08:57:03,Before 9:00am,16.00
2313,05-12-2015,Nevada,Meatzaa,4,08:57:04,Before 9:00am,8.00
2314,13-12-2015,Idaho,Pepperoni Suya,2,08:57:04,Before 9:00am,12.00
2315,13-12-2015,Oregon,Margarita,3,08:57:05,Before 9:00am,16.00
2316,05-12-2015,California,Hot Veggie,1,08:57:05,Before 9:00am,16.00
2317,13-12-2015,Oregon,Beef Suya,4,08:57:06,Before 9:00am,12.00
2318,15-12-2015,Oregon,Pepperoni Feast,2,08:57:10,Before 9:00am,16.00
2319,14-12-2015,Idaho,Beef Suya,3,08:57:15,Before 9:00am,12.00
2320,09-12-2015,Nevada,Chicken Bali,2,08:57:16,Before 9:00am,8.00
2321,14-12-2015,Idaho,Chicken Feast,1,08:57:18,Before 9:00am,8.00
2322,12-12-2015,Nevada,Chicken Legend,1,08:57:19,Before 9:00am,8.00
2323,11-12-2015,Idaho,Hot Veggie,3,08:57:20,Before 9:00am,16.00
2324,08-12-2015,Nevada,BBQ Philly Steak,3,08:57:21,Before 9:00am,16.00
2325,07-12-2015,California,BBQ Chicken,4,08:57:21,Before 9:00am,16.00
2326,14-12-2015,Arizona,Margarita,2,08:57:22,Before 9:00am,16.00
2327,07-12-2015,Idaho,Chicken Feast,2,08:57:22,Before 9:00am,8.00
2328,06-12-2015,Arizona,Extravaganza,1,08:57:22,Before 9:00am,8.00
2329,06-12-2015,Nevada,Pepperoni Suya,5,08:57:23,Before 9:00am,12.00
2330,05-12-2015,Nevada,Chicken Feast,1,08:57:24,Before 9:00am,8.00
2331,15-12-2015,Idaho,Hot Pepperoni Feast,5,08:57:25,Before 9:00am,16.00
2332,04-12-2015,Idaho,Chicken Legend,2,08:57:25,Before 9:00am,8.00
2333,07-12-2015,California,Chicken Bali,5,08:57:26,Before 9:00am,8.00
2334,11-12-2015,Nevada,Chicken Suya,1,08:57:28,Before 9:00am,16.00
2335,10-12-2015,Arizona,Hot Pepperoni Feast,5,08:57:29,Before 9:00am,16.00
2336,14-12-2015,Idaho,Hot Veggie,1,08:57:30,Before 9:00am,16.00
2337,04-12-2015,Arizona,Pepperoni Suya,3,08:57:30,Before 9:00am,12.00
2338,06-12-2015,Nevada,Chicken Suya,2,08:57:30,Before 9:00am,16.00
2339,04-12-2015,Nevada,BBQ Chicken,1,08:57:32,Before 9:00am,16.00
2340,03-12-2015,Idaho,Chicken Suya,3,08:57:32,Before 9:00am,16.00
2341,05-12-2015,Arizona,Chicken Legend,1,08:57:34,Before 9:00am,8.00
2342,04-12-2015,Arizona,Beef Suya,3,08:57:34,Before 9:00am,12.00
2343,15-12-2015,Oregon,Chicken Bali,1,08:57:34,Before 9:00am,8.00
2344,08-12-2015,Arizona,Veggie Supreme,5,08:57:35,Before 9:00am,12.00
2345,14-12-2015,Oregon,Veggie Supreme,1,08:57:35,Before 9:00am,12.00
2346,15-12-2015,Arizona,Chicken Suya,5,08:57:37,Before 9:00am,16.00
2347,06-12-2015,Idaho,Pepperoni Suya,1,08:57:37,Before 9:00am,12.00
2348,14-12-2015,Arizona,Beef Suya,3,08:57:37,Before 9:00am,12.00
2349,03-12-2015,Nevada,Beef Suya,4,08:57:37,Before 9:00am,12.00
2350,14-12-2015,Nevada,BBQ Chicken,2,08:57:39,Before 9:00am,16.00
2351,14-12-2015,Arizona,Italiano,3,08:57:40,Before 9:00am,12.00
2352,11-12-2015,Arizona,Hot Pepperoni Feast,3,08:57:44,Before 9:00am,16.00
2353,04-12-2015,California,Pepperoni Feast,1,08:57:45,Before 9:00am,16.00
2354,09-12-2015,Nevada,Pepperoni Feast,1,08:57:45,Before 9:00am,16.00
2355,09-12-2015,Arizona,Hot Veggie,2,08:57:45,Before 9:00am,16.00
2356,06-12-2015,Nevada,Chicken Legend,3,08:57:47,Before 9:00am,8.00
2357,04-12-2015,Nevada,Chicken Legend,4,08:57:49,Before 9:00am,8.00
2358,12-12-2015,California,BBQ Philly Steak,5,08:57:50,Before 9:00am,16.00
2359,04-12-2015,Idaho,Beef Suya,1,08:57:54,Before 9:00am,12.00
2360,09-12-2015,Oregon,Meatzaa,4,08:57:55,Before 9:00am,8.00
2361,06-12-2015,Idaho,Chicken Legend,3,08:57:56,Before 9:00am,8.00
2362,04-12-2015,Nevada,Hot Veggie,2,08:57:57,Before 9:00am,16.00
2363,11-12-2015,Idaho,Pepperoni Feast,4,08:57:59,Before 9:00am,16.00
2364,03-12-2015,Oregon,Hot Veggie,4,08:58:00,Before 9:00am,16.00
2365,11-12-2015,Arizona,Chicken Legend,3,08:58:01,Before 9:00am,8.00
2366,03-12-2015,California,Pepperoni Suya,5,08:58:03,Before 9:00am,12.00
2367,07-12-2015,Idaho,Italiano,2,08:58:03,Before 9:00am,12.00
2368,04-12-2015,Nevada,Margarita,2,08:58:07,Before 9:00am,16.00
2369,09-12-2015,Oregon,Hot Pepperoni Feast,3,08:58:08,Before 9:00am,16.00
2370,14-12-2015,California,Pepperoni Suya,5,08:58:11,Before 9:00am,12.00
2371,11-12-2015,Arizona,Chicken Legend,1,08:58:11,Before 9:00am,8.00
2372,10-12-2015,Nevada,Chicken Legend,2,08:58:12,Before 9:00am,8.00
2373,05-12-2015,Idaho,Chicken Feast,2,08:58:12,Before 9:00am,8.00
2374,14-12-2015,California,BBQ Philly Steak,3,08:58:15,Before 9:00am,16.00
2375,05-12-2015,Oregon,Hot Pepperoni Feast,1,08:58:16,Before 9:00am,16.00
2376,03-12-2015,Arizona,Beef Suya,5,08:58:16,Before 9:00am,12.00
2377,03-12-2015,Nevada,Meatzaa,4,08:58:17,Before 9:00am,8.00
2378,12-12-2015,Idaho,Chicken Bali,1,08:58:17,Before 9:00am,8.00
2379,05-12-2015,Idaho,BBQ Chicken,1,08:58:17,Before 9:00am,16.00
2380,08-12-2015,Oregon,Hot Pepperoni Feast,4,08:58:17,Before 9:00am,16.00
2381,15-12-2015,Oregon,Veggie Supreme,3,08:58:19,Before 9:00am,12.00
2382,03-12-2015,California,Meatzaa,5,08:58:19,Before 9:00am,8.00
2383,07-12-2015,California,BBQ Philly Steak,2,08:58:21,Before 9:00am,16.00
2384,08-12-2015,California,Extravaganza,1,08:58:21,Before 9:00am,8.00
2385,15-12-2015,Arizona,Chicken Feast,2,08:58:24,Before 9:00am,8.00
2386,07-12-2015,Oregon,Beef Suya,2,08:58:25,Before 9:00am,12.00
2387,11-12-2015,Nevada,Meatzaa,4,08:58:27,Before 9:00am,8.00
2388,04-12-2015,Oregon,Veggie Supreme,2,08:58:28,Before 9:00am,12.00
2389,13-12-2015,Arizona,Meatzaa,1,08:58:28,Before 9:00am,8.00
2390,15-12-2015,Idaho,BBQ Chicken,5,08:58:29,Before 9:00am,16.00
2391,04-12-2015,California,BBQ Philly Steak,5,08:58:30,Before 9:00am,16.00
2392,05-12-2015,Oregon,Beef Suya,4,08:58:31,Before 9:00am,12.00
2393,09-12-2015,California,BBQ Chicken,1,08:58:31,Before 9:00am,16.00
2394,11-12-2015,California,Margarita,5,08:58:32,Before 9:00am,16.00
2395,04-12-2015,Oregon,BBQ Chicken,1,08:58:32,Before 9:00am,16.00
2396,14-12-2015,California,Beef Suya,4,08:58:33,Before 9:00am,12.00
2397,09-12-2015,Idaho,Extravaganza,5,08:58:34,Before 9:00am,8.00
2398,09-12-2015,Arizona,Pepperoni Suya,3,08:58:34,Before 9:00am,12.00
2399,10-12-2015,Idaho,Chicken Legend,5,08:58:34,Before 9:00am,8.00
2400,06-12-2015,Idaho,Beef Suya,4,08:58:36,Before 9:00am,12.00
2401,14-12-2015,Arizona,BBQ Chicken,4,08:58:36,Before 9:00am,16.00
2402,13-12-2015,Oregon,Chicken Legend,5,08:58:38,Before 9:00am,8.00
2403,11-12-2015,Idaho,Pepperoni Suya,1,08:58:38,Before 9:00am,12.00
2404,08-12-2015,Oregon,Pepperoni Suya,2,08:58:38,Before 9:00am,12.00
2405,14-12-2015,Idaho,Pepperoni Feast,2,08:58:38,Before 9:00am,16.00
2406,12-12-2015,Nevada,Chicken Feast,2,08:58:41,Before 9:00am,8.00
2407,13-12-2015,Nevada,Beef Suya,5,08:58:41,Before 9:00am,12.00
2408,08-12-2015,Arizona,Margarita,4,08:58:41,Before 9:00am,16.00
2409,14-12-2015,Idaho,Pepperoni Feast,3,08:58:41,Before 9:00am,16.00
2410,10-12-2015,Oregon,Hot Pepperoni Feast,2,08:58:42,Before 9:00am,16.00
2411,14-12-2015,Idaho,BBQ Philly Steak,4,08:58:43,Before 9:00am,16.00
2412,14-12-2015,Oregon,Hot Pepperoni Feast,3,08:58:44,Before 9:00am,16.00
2413,13-12-2015,Oregon,BBQ Philly Steak,1,08:58:44,Before 9:00am,16.00
2414,09-12-2015,Nevada,BBQ Chicken,2,08:58:46,Before 9:00am,16.00
2415,04-12-2015,California,Veggie Supreme,4,08:58:46,Before 9:00am,12.00
2416,14-12-2015,Arizona,Veggie Supreme,2,08:58:47,Before 9:00am,12.00
2417,14-12-2015,Arizona,Chicken Bali,5,08:58:51,Before 9:00am,8.00
2418,08-12-2015,Arizona,BBQ Philly Steak,4,08:58:51,Before 9:00am,16.00
2419,14-12-2015,Arizona,BBQ Chicken,5,08:58:52,Before 9:00am,16.00
2420,14-12-2015,Nevada,Veggie Supreme,2,08:58:53,Before 9:00am,12.00
2421,13-12-2015,Nevada,Chicken Feast,2,08:58:53,Before 9:00am,8.00
2422,06-12-2015,Arizona,BBQ Philly Steak,5,08:58:53,Before 9:00am,16.00
2423,10-12-2015,Oregon,Hot Pepperoni Feast,2,08:58:55,Before 9:00am,16.00
2424,04-12-2015,Oregon,Chicken Legend,3,08:58:55,Before 9:00am,8.00
2425,10-12-2015,Nevada,BBQ Chicken,5,08:58:57,Before 9:00am,16.00
2426,08-12-2015,Nevada,Hot Veggie,4,08:58:57,Before 9:00am,16.00
2427,03-12-2015,Idaho,Beef Suya,5,08:58:57,Before 9:00am,12.00
2428,04-12-2015,California,Hot Pepperoni Feast,3,08:58:58,Before 9:00am,16.00
2429,15-12-2015,Nevada,BBQ Philly Steak,4,08:58:59,Before 9:00am,16.00
2430,03-12-2015,Arizona,Hot Pepperoni Feast,5,08:59:00,Before 9:00am,16.00
2431,14-12-2015,Idaho,Chicken Bali,1,08:59:02,Before 9:00am,8.00
2432,10-12-2015,California,Margarita,4,08:59:03,Before 9:00am,16.00
2433,10-12-2015,Arizona,Veggie Supreme,4,08:59:04,Before 9:00am,12.00
2434,11-12-2015,California,Hot Veggie,1,08:59:09,Before 9:00am,16.00
2435,09-12-2015,California,BBQ Philly Steak,4,08:59:09,Before 9:00am,16.00
2436,04-12-2015,California,Hot Pepperoni Feast,5,08:59:10,Before 9:00am,16.00
2437,13-12-2015,Oregon,Chicken Legend,4,08:59:11,Before 9:00am,8.00
2438,12-12-2015,California,Italiano,4,08:59:11,Before 9:00am,12.00
2439,15-12-2015,Idaho,Chicken Suya,1,08:59:12,Before 9:00am,16.00
2440,04-12-2015,Idaho,Italiano,5,08:59:12,Before 9:00am,12.00
2441,05-12-2015,Nevada,Chicken Feast,3,08:59:13,Before 9:00am,8.00
2442,09-12-2015,Nevada,Hot Pepperoni Feast,4,08:59:15,Before 9:00am,16.00
2443,04-12-2015,Nevada,Pepperoni Feast,1,08:59:16,Before 9:00am,16.00
2444,10-12-2015,Nevada,Italiano,4,08:59:16,Before 9:00am,12.00
2445,13-12-2015,Oregon,Beef Suya,4,08:59:17,Before 9:00am,12.00
2446,09-12-2015,Oregon,BBQ Philly Steak,3,08:59:17,Before 9:00am,16.00
2447,10-12-2015,Oregon,BBQ Chicken,4,08:59:17,Before 9:00am,16.00
2448,09-12-2015,California,Chicken Suya,1,08:59:18,Before 9:00am,16.00
2449,12-12-2015,Oregon,Hot Veggie,3,08:59:20,Before 9:00am,16.00
2450,11-12-2015,Oregon,Hot Pepperoni Feast,4,08:59:24,Before 9:00am,16.00
2451,11-12-2015,Idaho,Chicken Legend,2,08:59:28,Before 9:00am,8.00
2452,09-12-2015,California,Pepperoni Feast,5,08:59:29,Before 9:00am,16.00
2453,05-12-2015,Oregon,Pepperoni Feast,2,08:59:29,Before 9:00am,16.00
2454,12-12-2015,Nevada,Beef Suya,5,08:59:29,Before 9:00am,12.00
2455,12-12-2015,California,Veggie Supreme,5,08:59:30,Before 9:00am,12.00
2456,15-12-2015,Nevada,Extravaganza,4,08:59:31,Before 9:00am,8.00
2457,08-12-2015,Arizona,Chicken Suya,5,08:59:35,Before 9:00am,16.00
2458,03-12-2015,California,Hot Pepperoni Feast,4,08:59:35,Before 9:00am,16.00
2459,09-12-2015,California,Hot Veggie,5,08:59:35,Before 9:00am,16.00
2460,06-12-2015,Oregon,Beef Suya,3,08:59:35,Before 9:00am,12.00
2461,10-12-2015,Oregon,Extravaganza,2,08:59:37,Before 9:00am,8.00
2462,09-12-2015,Arizona,Hot Pepperoni Feast,4,08:59:37,Before 9:00am,16.00
2463,12-12-2015,Nevada,BBQ Philly Steak,5,08:59:39,Before 9:00am,16.00
2464,08-12-2015,California,Veggie Supreme,5,08:59:40,Before 9:00am,12.00
2465,09-12-2015,Nevada,Meatzaa,2,08:59:43,Before 9:00am,8.00
2466,03-12-2015,California,Italiano,2,08:59:45,Before 9:00am,12.00
2467,13-12-2015,Oregon,BBQ Chicken,3,08:59:45,Before 9:00am,16.00
2468,07-12-2015,Arizona,Pepperoni Feast,1,08:59:45,Before 9:00am,16.00
2469,13-12-2015,Nevada,Italiano,3,08:59:53,Before 9:00am,12.00
2470,11-12-2015,California,Hot Veggie,2,08:59:55,Before 9:00am,16.00
2471,04-12-2015,California,Pepperoni Suya,1,08:59:55,Before 9:00am,12.00
2472,07-12-2015,Nevada,Veggie Supreme,5,08:59:56,Before 9:00am,12.00
2473,13-12-2015,Arizona,Extravaganza,5,08:59:56,Before 9:00am,8.00
2474,09-12-2015,California,Margarita,1,08:59:56,Before 9:00am,16.00
2475,04-12-2015,Idaho,Margarita,3,08:59:57,Before 9:00am,16.00
2476,06-12-2015,Nevada,Extravaganza,1,08:59:58,Before 9:00am,8.00
2477,07-12-2015,Oregon,Margarita,1,08:59:59,Before 9:00am,16.00
2478,08-12-2015,Idaho,BBQ Philly Steak,2,09:00:00,Before 9:00am,16.00
2479,12-12-2015,Idaho,Hot Veggie,2,09:00:00,Before 9:00am,16.00
2480,05-12-2015,Idaho,Pepperoni Suya,2,09:00:01,After 9:00am,12.00
2481,05-12-2015,Idaho,Meatzaa,5,09:00:01,After 9:00am,8.00
2482,03-12-2015,Idaho,Hot Pepperoni Feast,5,09:00:03,After 9:00am,16.00
2483,07-12-2015,Nevada,Chicken Suya,3,09:00:04,After 9:00am,16.00
2484,15-12-2015,Idaho,Chicken Suya,5,09:00:05,After 9:00am,16.00
2485,13-12-2015,California,Extravaganza,5,09:00:06,After 9:00am,8.00
2486,11-12-2015,California,Hot Pepperoni Feast,3,09:00:07,After 9:00am,16.00
2487,15-12-2015,California,Chicken Suya,2,09:00:07,After 9:00am,16.00
2488,05-12-2015,California,Hot Pepperoni Feast,1,09:00:08,After 9:00am,16.00
2489,13-12-2015,Idaho,Pepperoni Suya,2,09:00:10,After 9:00am,12.00
2490,04-12-2015,Oregon,Margarita,5,09:00:10,After 9:00am,16.00
2491,08-12-2015,Idaho,BBQ Chicken,1,09:00:11,After 9:00am,16.00
2492,12-12-2015,California,Beef Suya,2,09:00:12,After 9:00am,12.00
2493,05-12-2015,California,Pepperoni Feast,3,09:00:13,After 9:00am,16.00
2494,13-12-2015,Nevada,BBQ Philly Steak,4,09:00:16,After 9:00am,16.00
2495,09-12-2015,California,Chicken Feast,1,09:00:18,After 9:00am,8.00
2496,11-12-2015,Oregon,Hot Veggie,2,09:00:18,After 9:00am,16.00
2497,08-12-2015,Oregon,Italiano,1,09:00:18,After 9:00am,12.00
2498,09-12-2015,Nevada,Hot Veggie,4,09:00:22,After 9:00am,16.00
2499,15-12-2015,Nevada,Chicken Legend,2,09:00:22,After 9:00am,8.00
2500,13-12-2015,Nevada,Chicken Legend,5,09:00:24,After 9:00am,8.00
2501,08-12-2015,Nevada,Chicken Legend,4,09:00:24,After 9:00am,8.00
2502,12-12-2015,Nevada,Extravaganza,4,09:00:25,After 9:00am,8.00
2503,11-12-2015,Arizona,Chicken Feast,4,09:00:26,After 9:00am,8.00
2504,03-12-2015,Nevada,Beef Suya,2,09:00:26,After 9:00am,12.00
2505,14-12-2015,Arizona,Chicken Suya,3,09:00:27,After 9:00am,16.00
2506,10-12-2015,Oregon,Pepperoni Suya,5,09:00:30,After 9:00am,12.00
2507,10-12-2015,Idaho,Hot Pepperoni Feast,3,09:00:30,After 9:00am,16.00
2508,11-12-2015,Nevada,Chicken Feast,2,09:00:30,After 9:00am,8.00
2509,10-12-2015,Nevada,Chicken Legend,2,09:00:32,After 9:00am,8.00
2510,13-12-2015,Nevada,Chicken Bali,5,09:00:32,After 9:00am,8.00
2511,11-12-2015,Nevada,Meatzaa,1,09:00:33,After 9:00am,8.00
2512,08-12-2015,Oregon,Veggie Supreme,2,09:00:33,After 9:00am,12.00
2513,15-12-2015,Arizona,Beef Suya,2,09:00:33,After 9:00am,12.00
2514,03-12-2015,California,Pepperoni Suya,5,09:00:35,After 9:00am,12.00
2515,06-12-2015,California,BBQ Chicken,3,09:00:36,After 9:00am,16.00
2516,09-12-2015,Idaho,Italiano,3,09:00:36,After 9:00am,12.00
2517,10-12-2015,Arizona,Chicken Bali,1,09:00:37,After 9:00am,8.00
2518,03-12-2015,Nevada,Chicken Suya,5,09:00:39,After 9:00am,16.00
2519,08-12-2015,Idaho,Hot Veggie,3,09:00:39,After 9:00am,16.00
2520,04-12-2015,California,Meatzaa,4,09:00:42,After 9:00am,8.00
2521,04-12-2015,Idaho,BBQ Chicken,5,09:00:43,After 9:00am,16.00
2522,11-12-2015,Arizona,Pepperoni Feast,5,09:00:43,After 9:00am,16.00
2523,13-12-2015,Idaho,Beef Suya,1,09:00:43,After 9:00am,12.00
2524,10-12-2015,Arizona,Veggie Supreme,4,09:00:43,After 9:00am,12.00
2525,05-12-2015,California,Pepperoni Feast,3,09:00:44,After 9:00am,16.00
2526,07-12-2015,Arizona,Extravaganza,5,09:00:47,After 9:00am,8.00
2527,07-12-2015,Nevada,Meatzaa,1,09:00:47,After 9:00am,8.00
2528,05-12-2015,Arizona,Pepperoni Suya,5,09:00:47,After 9:00am,12.00
2529,06-12-2015,Oregon,Meatzaa,3,09:00:47,After 9:00am,8.00
2530,13-12-2015,Nevada,Beef Suya,5,09:00:49,After 9:00am,12.00
2531,10-12-2015,California,Pepperoni Suya,3,09:00:49,After 9:00am,12.00
2532,10-12-2015,Oregon,Pepperoni Feast,2,09:00:50,After 9:00am,16.00
2533,04-12-2015,Nevada,Beef Suya,2,09:00:50,After 9:00am,12.00
2534,15-12-2015,Nevada,Italiano,5,09:00:51,After 9:00am,12.00
2535,06-12-2015,Oregon,Chicken Feast,2,09:00:53,After 9:00am,8.00
2536,12-12-2015,Idaho,Pepperoni Feast,2,09:00:53,After 9:00am,16.00
2537,04-12-2015,Nevada,Extravaganza,4,09:00:58,After 9:00am,8.00
2538,14-12-2015,Oregon,Italiano,1,09:01:01,After 9:00am,12.00
2539,15-12-2015,California,Pepperoni Suya,3,09:01:03,After 9:00am,12.00
2540,15-12-2015,California,Pepperoni Feast,1,09:01:03,After 9:00am,16.00
2541,15-12-2015,Nevada,Pepperoni Suya,2,09:01:04,After 9:00am,12.00
2542,03-12-2015,Oregon,Beef Suya,3,09:01:04,After 9:00am,12.00
2543,03-12-2015,Arizona,Hot Veggie,2,09:01:05,After 9:00am,16.00
2544,07-12-2015,Nevada,BBQ Philly Steak,4,09:01:07,After 9:00am,16.00
2545,12-12-2015,Nevada,Beef Suya,3,09:01:07,After 9:00am,12.00
2546,15-12-2015,California,Pepperoni Feast,5,09:01:07,After 9:00am,16.00
2547,11-12-2015,Arizona,Chicken Legend,2,09:01:07,After 9:00am,8.00
2548,11-12-2015,Arizona,Beef Suya,2,09:01:08,After 9:00am,12.00
2549,08-12-2015,Nevada,Italiano,2,09:01:08,After 9:00am,12.00
2550,10-12-2015,Oregon,Pepperoni Feast,5,09:01:08,After 9:00am,16.00
2551,09-12-2015,Nevada,Beef Suya,3,09:01:08,After 9:00am,12.00
2552,06-12-2015,Arizona,Hot Veggie,2,09:01:08,After 9:00am,16.00
2553,04-12-2015,California,Hot Pepperoni Feast,2,09:01:10,After 9:00am,16.00
2554,05-12-2015,California,Italiano,3,09:01:10,After 9:00am,12.00
2555,14-12-2015,California,Hot Pepperoni Feast,5,09:01:11,After 9:00am,16.00
2556,10-12-2015,Nevada,Beef Suya,4,09:01:12,After 9:00am,12.00
2557,11-12-2015,Oregon,Pepperoni Feast,3,09:01:12,After 9:00am,16.00
2558,09-12-2015,Oregon,Italiano,5,09:01:12,After 9:00am,12.00
2559,14-12-2015,Nevada,Italiano,4,09:01:13,After 9:00am,12.00
2560,11-12-2015,Idaho,Meatzaa,2,09:01:14,After 9:00am,8.00
2561,10-12-2015,Arizona,BBQ Chicken,1,09:01:15,After 9:00am,16.00
2562,03-12-2015,Oregon,BBQ Chicken,3,09:01:15,After 9:00am,16.00
2563,14-12-2015,Idaho,Hot Veggie,1,09:01:15,After 9:00am,16.00
2564,05-12-2015,Nevada,Pepperoni Suya,2,09:01:15,After 9:00am,12.00
2565,03-12-2015,California,BBQ Philly Steak,2,09:01:16,After 9:00am,16.00
2566,13-12-2015,Idaho,Pepperoni Feast,3,09:01:19,After 9:00am,16.00
2567,07-12-2015,Arizona,BBQ Chicken,3,09:01:19,After 9:00am,16.00
2568,07-12-2015,Nevada,Hot Pepperoni Feast,1,09:01:22,After 9:00am,16.00
2569,03-12-2015,Idaho,Chicken Bali,2,09:01:23,After 9:00am,8.00
2570,05-12-2015,Idaho,Veggie Supreme,3,09:01:23,After 9:00am,12.00
2571,06-12-2015,California,Extravaganza,2,09:01:25,After 9:00am,8.00
2572,07-12-2015,Nevada,Margarita,5,09:01:25,After 9:00am,16.00
2573,13-12-2015,California,Pepperoni Feast,2,09:01:25,After 9:00am,16.00
2574,06-12-2015,California,Pepperoni Suya,3,09:01:27,After 9:00am,12.00
2575,03-12-2015,Nevada,Margarita,5,09:01:27,After 9:00am,16.00
2576,09-12-2015,Idaho,Chicken Legend,4,09:01:31,After 9:00am,8.00
2577,07-12-2015,Nevada,Veggie Supreme,4,09:01:32,After 9:00am,12.00
2578,13-12-2015,Nevada,Pepperoni Suya,3,09:01:33,After 9:00am,12.00
2579,10-12-2015,California,Chicken Legend,3,09:01:33,After 9:00am,8.00
2580,13-12-2015,Oregon,Margarita,3,09:01:33,After 9:00am,16.00
2581,11-12-2015,Arizona,BBQ Chicken,1,09:01:33,After 9:00am,16.00
2582,12-12-2015,Oregon,Chicken Legend,4,09:01:35,After 9:00am,8.00
2583,09-12-2015,Idaho,BBQ Chicken,4,09:01:35,After 9:00am,16.00
2584,14-12-2015,Arizona,BBQ Chicken,4,09:01:38,After 9:00am,16.00
2585,14-12-2015,Arizona,Pepperoni Suya,5,09:01:40,After 9:00am,12.00
2586,08-12-2015,Idaho,Extravaganza,5,09:01:45,After 9:00am,8.00
2587,10-12-2015,California,Chicken Feast,3,09:01:47,After 9:00am,8.00
2588,12-12-2015,Idaho,Chicken Legend,5,09:01:47,After 9:00am,8.00
2589,13-12-2015,Nevada,Extravaganza,2,09:01:53,After 9:00am,8.00
2590,14-12-2015,Idaho,BBQ Philly Steak,1,09:01:54,After 9:00am,16.00
2591,10-12-2015,Arizona,Margarita,3,09:01:55,After 9:00am,16.00
2592,09-12-2015,Oregon,Italiano,4,09:01:57,After 9:00am,12.00
2593,05-12-2015,Idaho,Beef Suya,3,09:01:57,After 9:00am,12.00
2594,05-12-2015,Idaho,Extravaganza,5,09:01:58,After 9:00am,8.00
2595,05-12-2015,Nevada,Hot Pepperoni Feast,3,09:01:59,After 9:00am,16.00
2596,06-12-2015,Idaho,Meatzaa,5,09:02:00,After 9:00am,8.00
2597,13-12-2015,Nevada,Italiano,1,09:02:00,After 9:00am,12.00
2598,04-12-2015,California,Chicken Feast,5,09:02:01,After 9:00am,8.00
2599,13-12-2015,Nevada,Extravaganza,5,09:02:02,After 9:00am,8.00
2600,15-12-2015,Idaho,Pepperoni Feast,1,09:02:04,After 9:00am,16.00
2601,08-12-2015,Idaho,Hot Pepperoni Feast,1,09:02:04,After 9:00am,16.00
2602,06-12-2015,Oregon,Hot Pepperoni Feast,5,09:02:06,After 9:00am,16.00
2603,13-12-2015,Oregon,Veggie Supreme,3,09:02:07,After 9:00am,12.00
2604,07-12-2015,Nevada,Hot Veggie,4,09:02:09,After 9:00am,16.00
2605,15-12-2015,Nevada,Hot Veggie,1,09:02:09,After 9:00am,16.00
2606,09-12-2015,Idaho,Extravaganza,2,09:02:10,After 9:00am,8.00
2607,13-12-2015,California,Chicken Feast,2,09:02:10,After 9:00am,8.00
